population,score
honest,0.7176258992805755
honest,0.7356115107913669
honest,0.7410071942446044
honest,0.7194244604316546
honest,0.7482014388489209
honest,0.724820143884892
honest,0.7212230215827338
honest,0.7338129496402878
honest,0.7392086330935252
honest,0.7446043165467626
honest,0.7284172661870504
honest,0.7320143884892086
honest,0.7266187050359713
spoof,0.00299072265625
spoof,0.00103759765625
spoof,0.0032958984375
spoof,0.00341796875
spoof,0.00030517578125
spoof,0.011962890625
spoof,0.0008544921875
spoof,0.0023193359375
spoof,0.004638671875
spoof,0.01318359375
spoof,0.00042724609375
spoof,0.001373291015625
spoof,0.00927734375
spoof,0.00115966796875
spoof,0.001495361328125
spoof,0.0008544921875
spoof,0.0059814453125
spoof,0.004638671875
spoof,0.00274658203125
spoof,0.00927734375
spoof,0.002764423076923077
spoof,0.00042067307692307695
spoof,0.0016526442307692308
spoof,0.0033653846153846156
spoof,0.013221153846153846
spoof,0.0016526442307692308
spoof,0.0016826923076923078
spoof,0.0006610576923076923
spoof,0.0026442307692307694
spoof,0.0008263221153846154
spoof,0.005528846153846154
spoof,0.007572115384615385
spoof,0.006610576923076923
spoof,0.0016826923076923078
spoof,0.007572115384615385
spoof,0.005528846153846154
spoof,0.0013822115384615385
spoof,0.00042067307692307695
spoof,0.002764423076923077
spoof,0.005288461538461539
spoof,0.0028351814516129033
spoof,0.0010553175403225806
spoof,0.0012443296370967742
spoof,0.003087197580645161
spoof,0.0017641129032258064
spoof,0.0008820564516129032
spoof,0.004221270161290322
spoof,0.01310483870967742
spoof,0.0006300403225806451
spoof,0.003276209677419355
spoof,0.004977318548387097
spoof,0.01310483870967742
spoof,0.006174395161290322
spoof,0.002110635080645161
spoof,0.006174395161290322
spoof,0.0007717993951612903
spoof,0.003087197580645161
spoof,0.006174395161290322
spoof,0.0008820564516129032
spoof,0.005670362903225807
spoof,0.00244140625
spoof,0.0007171630859375
spoof,0.00244140625
spoof,0.01318359375
spoof,0.00830078125
spoof,0.003662109375
spoof,0.0057373046875
spoof,0.001251220703125
spoof,0.01318359375
spoof,0.0020751953125
spoof,0.001251220703125
spoof,0.00164794921875
spoof,0.0006103515625
spoof,0.00091552734375
spoof,0.0006103515625
spoof,0.006591796875
spoof,0.001434326171875
spoof,0.00177001953125
spoof,0.0035400390625
spoof,0.0032958984375
spoof,0.002900094696969697
spoof,0.0005918560606060606
spoof,0.0024266098484848485
spoof,0.00026633522727272725
spoof,0.0023674242424242425
spoof,0.0023674242424242425
spoof,0.0016571969696969697
spoof,0.002959280303030303
spoof,0.005918560606060606
spoof,0.006628787878787879
spoof,0.0001775568181818182
spoof,0.0014796401515151515
spoof,0.004853219696969697
spoof,0.009706439393939394
spoof,0.009706439393939394
spoof,0.005800189393939394
spoof,0.0023674242424242425
spoof,0.0012133049242424242
spoof,0.001065340909090909
spoof,0.0012133049242424242
spoof,0.0022858796296296295
spoof,0.0007957175925925925
spoof,0.0005787037037037037
spoof,0.002951388888888889
spoof,0.00636574074074074
spoof,0.0010706018518518519
spoof,0.0005787037037037037
spoof,0.009143518518518518
spoof,0.0011429398148148147
spoof,0.0023148148148148147
spoof,0.011805555555555555
spoof,0.0005353009259259259
spoof,0.002951388888888889
spoof,0.0042824074074074075
spoof,0.0007957175925925925
spoof,0.0011429398148148147
spoof,0.0016637731481481482
spoof,0.0005787037037037037
spoof,0.0033275462962962963
spoof,0.0014756944444444444
spoof,0.006719842657342657
spoof,0.00042340472027972025
spoof,0.0012975305944055945
spoof,0.0006555944055944056
spoof,0.0016799606643356643
spoof,0.0006692526223776224
spoof,0.0001638986013986014
spoof,0.0013385052447552448
spoof,0.0026770104895104895
spoof,0.004097465034965035
spoof,0.001201923076923077
spoof,0.0010243662587412587
spoof,0.001693618881118881
spoof,0.002403846153846154
spoof,0.00042340472027972025
spoof,0.0033599213286713285
spoof,0.0010243662587412587
spoof,0.0010243662587412587
spoof,0.006719842657342657
spoof,0.006719842657342657
spoof,0.0057692307692307696
spoof,0.00045072115384615387
spoof,0.004807692307692308
spoof,0.0014423076923076924
spoof,0.003545673076923077
spoof,0.0004807692307692308
spoof,0.011538461538461539
spoof,0.009615384615384616
spoof,0.002403846153846154
spoof,0.002403846153846154
spoof,0.003545673076923077
spoof,0.00045072115384615387
spoof,0.0017728365384615385
spoof,0.0008864182692307692
spoof,0.0009014423076923077
spoof,0.0033052884615384615
spoof,0.013221153846153846
spoof,0.0010817307692307693
spoof,0.0009014423076923077
spoof,0.013221153846153846
spoof,0.0016571969696969697
spoof,0.0009025804924242424
spoof,0.013257575757575758
spoof,0.001065340909090909
spoof,0.0006510416666666666
spoof,0.002130681818181818
spoof,0.013257575757575758
spoof,0.0009025804924242424
spoof,0.0003255208333333333
spoof,0.004261363636363636
spoof,0.006628787878787879
spoof,0.002160274621212121
spoof,0.0016571969696969697
spoof,0.004261363636363636
spoof,0.001982717803030303
spoof,0.006628787878787879
spoof,0.0016571969696969697
spoof,0.001065340909090909
spoof,0.0006954308712121212
spoof,0.00556344696969697
spoof,0.004383992805755395
spoof,0.002360611510791367
spoof,0.0014472796762589927
spoof,0.0010959982014388488
spoof,0.001672099820143885
spoof,0.0021919964028776977
spoof,0.0002669739208633094
spoof,0.0010959982014388488
spoof,0.0010959982014388488
spoof,0.0040467625899280575
spoof,0.00876798561151079
spoof,0.0010116906474820144
spoof,0.00668839928057554
spoof,0.0005339478417266187
